date,minclimate,maxclimate,sunlightminute,,,
2000-09-09,27.1,30,0,,,
2000-09-10,24.6,30,8,,,
2000-09-11,27,30.4,23,,,
2000-09-12,27.5,31.5,0,,,
2000-09-13,27,31,30,,,
2000-09-14,25.9,30.5,8,,,
2000-09-15,27.3,31.7,157,,,
2000-09-16,24.7,31,10,,,
2000-09-17,25.6,31.4,0,,,
2000-09-18,27,31.5,5,,,
2000-09-19,26.5,31.7,51,,,
2000-09-20,25.8,30.5,0,,,
2000-09-21,27.2,31.4,0,,,
2000-09-22,27.5,30,0,,,
2000-09-23,25.5,31,0,,,
2000-09-24,28,31.6,0,,,
2000-09-25,27.4,31.5,0,,,
2000-09-26,27.1,32,0,,,
2000-09-27,27.2,31.5,0,,,
2000-09-28,27.5,32,0,,,
2000-09-29,27.5,31.2,0,,,
2000-09-30,,,0,,,
