r,g,b
115,116,98
149,179,102
117,121,102
97,91,102
138,124,102
131,140,102
126,138,102
134,139,102
118,135,102
115,135,102
130,148,102
124,126,102
99,112,102
144,161,101
93,87,101
110,99,101
126,129,101
128,122,101
111,109,101
115,126,101
122,132,101
105,117,101
126,143,101
113,124,101
106,104,101
74,87,103
91,88,103
114,108,103
106,110,103
122,123,103
114,121,103
121,111,103
103,106,103
116,110,103
113,110,103
63,79,103
100,122,103
82,97,113
55,67,113
92,102,113
115,133,113
124,128,113
106,112,113
118,132,113
124,138,113
127,146,113
144,123,113
112,123,113
149,162,113
134,150,110
126,125,110
87,97,110
129,138,110
126,126,110
122,131,110
140,146,110
129,132,110
125,131,110
104,118,110
76,76,110
111,123,110
134,142,115
139,148,115
144,141,115
156,156,115
133,129,115
133,132,115
131,134,115
137,134,115
119,131,115
138,137,115
110,100,115
142,133,115
80,86,112
114,109,112
106,104,112
128,101,112
108,90,112
120,113,112
123,115,112
126,116,112
123,117,112
136,131,112
142,142,112
115,104,112
165,164,113
109,113,113
72,61,113
114,94,113
127,114,113
127,114,113
126,113,113
134,135,113
125,109,113
139,139,113
92,104,113
88,97,113
108,99,108
87,86,108
96,85,108
103,87,108
101,91,108
108,104,108
125,112,108
92,76,108
91,92,108
96,94,108
86,96,108
105,102,108
110,104,121
121,98,121
100,97,121
125,102,121
119,105,121
133,127,121
116,97,121
131,128,121
119,130,121
131,112,121
128,124,121
159,154,121
187,169,123
155,151,123
127,117,123
132,130,123
139,132,123
114,102,123
138,124,123
113,101,123
109,98,123
131,120,123
121,112,123
124,121,123
139,127,123
139,115,123
154,150,123
150,146,123
132,113,123
129,122,123
138,121,123
132,106,123
115,94,123
119,96,123
95,83,123
129,115,123
125,117,127
154,160,127
54,47,127
112,91,127
98,89,127
125,116,127
116,101,127
134,116,127
125,112,127
128,123,127
97,96,127
155,148,127
143,135,133
155,133,133
134,124,133
144,129,133
143,141,133
138,139,133
127,111,133
129,117,133
130,119,133
124,116,133
123,108,133
105,106,133
133,147,128
144,150,128
135,131,128
134,127,128
107,106,128
118,128,128
118,112,128
108,112,128
122,115,128
137,135,128
132,119,128
132,137,128
126,149,126
163,176,126
102,98,126
115,91,126
113,95,126
126,114,126
133,122,126
141,150,126
142,142,126
158,150,126
153,138,126
119,127,126
135,130,118
112,101,118
89,94,118
106,77,118
107,89,118
118,113,118
121,113,118
119,102,118
101,84,118
94,93,118
106,107,118
109,94,118
134,134,129
100,111,129
114,112,129
111,87,129
117,121,129
122,121,129
114,106,129
121,111,129
102,78,129
128,121,129
98,91,129
126,119,129
106,104,124
122,116,124
128,116,124
117,94,124
107,111,124
132,122,124
135,133,124
116,110,124
126,127,124
113,100,124
106,103,124
104,90,124
114,128,125
101,98,125
134,110,125
126,113,125
146,137,125
113,96,125
130,121,125
126,120,125
114,110,125
149,142,125
128,101,125
129,126,125
103,98,126
126,109,126
168,157,126
134,121,126
106,98,126
109,98,126
112,86,126
107,91,126
102,90,126
134,127,126
102,89,126
89,79,126
88,59,133
80,60,133
111,103,133
143,124,133
132,111,133
128,132,133
128,118,133
120,109,133
122,107,133
147,104,133
131,129,133
147,145,133
133,126,131
145,151,131
125,110,131
137,125,131
118,114,131
121,131,131
130,125,131
115,105,131
132,112,131
130,112,131
108,105,131
109,102,131
133,139,136
106,94,136
100,96,136
131,112,136
118,111,136
111,109,136
115,106,136
116,112,136
133,124,136
129,120,136
130,121,136
128,122,136
77,70,146
85,64,146
110,110,146
128,111,146
116,99,146
126,116,146
126,108,146
140,140,146
113,99,146
137,110,146
109,79,146
126,118,146
144,139,139
164,152,139
158,142,139
161,132,139
149,129,139
149,135,139
147,119,139
142,115,139
128,113,139
135,122,139
124,110,139
126,129,139
113,79,151
93,62,151
127,98,151
131,110,151
122,96,151
117,116,151
125,106,151
137,118,151
110,87,151
104,105,151
102,100,151
126,94,151
147,134,150
141,114,150
146,125,150
146,120,150
143,136,150
128,115,150
123,112,150
111,98,150
133,104,150
124,109,150
99,100,150
118,117,150
138,131,149
118,88,149
82,57,149
124,108,149
104,87,149
105,96,149
112,123,149
96,102,149
105,100,149
91,56,149
99,82,149
117,116,149
128,96,147
137,131,147
155,140,147
157,144,147
155,141,147
146,139,147
146,136,147
138,121,147
114,92,147
120,107,147
152,132,147
137,108,147
134,106,154
145,120,154
154,120,154
178,147,154
146,108,154
132,95,154
144,104,154
99,81,154
123,92,154
131,114,154
145,114,154
121,121,154
129,108,149
105,85,149
153,121,149
145,117,149
141,111,149
140,125,149
117,108,149
134,113,149
144,123,149
145,133,149
132,121,149
173,170,149
137,135,155
155,133,155
134,114,155
165,148,155
164,141,155
148,118,155
154,144,155
142,127,155
135,122,155
144,125,155
158,151,155
139,138,155
209,189,167
